14. 3. 10 오후 8:12
프로젝트 통계

      	   부분	   단어	문자 (공백 없이)	문자 (공백 포함)	
총:    	12553	90895	    350878	    367188	
남은:   	 5208	61534	    190704	    193764	
고유:   	 9580	85814	    318913	    332275	
남은 고유:	 5129	61208	    189514	    192514	


개별 파일 통계:

파일 이름           	총 부분	나머지 부분	고유 부분	남은 고유 부분	총 단어	남은 단어	고유 단어	나머지 고유 단어	총 문자 (공백 없이)	나머지 문자 (공백 없이)	고유 문자 (공백 없이)	나머지 고유 문자 (공백 없이)	총 문자 (공백 포함)	나머지 문자 (공백 포함)	고유 문자 (공백 포함)	나머지 고유 문자 (공백 포함)	
ebook/07.1.md   	 228	   112	  160	     111	1803	 1501	 1687	     1495	        6863	          4540	         5960	             4516	        7094	          4580	         6151	             4556	
ebook/07.2.md   	 208	    98	  161	      97	1550	 1236	 1480	     1230	        5891	          3583	         5462	             3572	        6150	          3640	         5674	             3629	
ebook/07.3.md   	 223	    87	  175	      86	1753	 1118	 1636	     1112	        7532	          3286	         6842	             3275	        7983	          3302	         7211	             3291	
ebook/07.4.md   	 352	   150	  245	     147	2145	 1652	 1978	     1639	        8845	          5273	         7731	             5247	        9292	          5350	         8089	             5323	
ebook/07.5.md   	 119	    49	   80	      49	 673	  449	  625	      449	        2473	          1191	         2209	             1191	        2656	          1203	         2356	             1203	
ebook/07.6.md   	 128	    33	   96	      33	 602	  296	  562	      296	        2885	           786	         2628	              786	        3106	           804	         2831	              804	
ebook/07.7.md   	  11	     9	    9	       9	 101	   98	   98	       98	         326	           300	          300	              300	         334	           306	          306	              306	
ebook/08.0.md   	  31	    27	   28	      27	 391	  382	  387	      382	        1227	          1167	         1197	             1167	        1236	          1173	         1203	             1173	
ebook/08.1.md   	 431	   172	  252	     168	2884	 2145	 2554	     2106	       11383	          6555	         9338	             6441	       11936	          6591	         9713	             6475	
ebook/08.2.md   	 136	    63	  107	      62	1004	  814	  977	      808	        3887	          2420	         3717	             2390	        4024	          2444	         3845	             2412	
ebook/08.3.md   	 141	   100	  121	      99	1379	 1248	 1352	     1247	        4811	          3886	         4599	             3882	        4910	          3909	         4679	             3904	
ebook/08.4.md   	 348	    90	  140	      89	1755	 1103	 1301	     1102	        6992	          3076	         4359	             3072	        7487	          3106	         4521	             3101	
ebook/08.5.md   	  18	    16	   16	      16	 173	  170	  170	      170	         577	           551	          551	              551	         585	           557	          557	              557	
ebook/09.0.md   	  34	    30	   31	      30	 396	  387	  392	      387	        1287	          1227	         1257	             1227	        1296	          1233	         1263	             1233	
ebook/09.1.md   	 101	    83	   84	      82	1068	 1016	 1023	     1015	        3424	          3008	         3074	             3004	        3478	          3035	         3101	             3030	
ebook/09.2.md   	  96	    74	   86	      73	1110	 1039	 1096	     1038	        3759	          3214	         3645	             3210	        3820	          3232	         3700	             3227	
ebook/09.3.md   	  72	    67	   68	      66	1013	 1002	 1008	     1001	        3211	          3118	         3176	             3114	        3238	          3142	         3200	             3137	
ebook/09.4.md   	  87	    67	   77	      66	1012	  923	 1001	      922	        3428	          2852	         3379	             2848	        3508	          2877	         3456	             2872	
ebook/09.5.md   	  98	    74	   90	      73	1029	  931	 1000	      930	        3652	          3021	         3483	             3017	        3746	          3056	         3557	             3051	
